"Var1","Freq"
"Взяття громадян на квартирний облік за місцем проживання та взяття на облік громадян, які бажають вступити до житлово-будівельного кооперативу та зняття з обліку",185
"Взяття громадян на квартирний облік за місцем проживання та взяття на облік громадян, які бажають вступити до житлово-будівельного кооперативу та зняття з обліку для взяття на квартирний облік",1
"Взяття громадян на квартирний облік за місцем проживання та взяття на облік громадян, які бажають вступити до житлово-будівельного кооперативу та зняття з обліку для зняття з квартирного обліку",1
"Взяття громадян на облік бажаючих отримати земельну ділянку під індивідуальне будівництво",83
"Взяття громадян на соціальний квартирний облік за місцем проживання",2
"Взяття на облік громадян, які бажають отримати земельну ділянку для будівництва, обслуговування жилого будинку,  господарських будівель та споруд",84
"Виготовлення свідоцтва на право власності на житло",187
"Видача висновку про погодження документації із землеустрою",1
"Видача витягу з технічної документації про нормативну грошову оцінку земельної ділянки",1039
"Видача відомостей з документації із землеустрою, що включена до місцевого фонду документації із землеустрою",39
"Видача довідки про те, що за місцем реєстрації батька або матері посвідчення батьків та дитини з багатодітної сім'ї не видавались",20
"Видача дозволу на виконання будівельних робіт",5
"Видача дозволу на виконання будівельних робіт (зміна даних у дозволі на виконання будівельних робіт)",19
"Видача дозволу на зняття та перенесення грунтового покриву (родючого шару грунту) земельної ділянки",1
"Видача дозволу на проведення діагностичних, експериментальних, випробувальних, вимірювальних робіт на підприємтсвах, в установах та організаціях, діяльність яких пов`язана з використанням джерел неіонізуючого випромінювання",9
"Видача дозволу на спеціальне водокористування",107
"Видача дозволу (санітарного паспорта) на роботи з радіоактивними речовинами та іншими джерелами іонізуючого випромінювання",6
"Видача дубліката посвідчень батьків або дитини з багатодітної сім'ї у разі його втрати",5
"Видача дубліката свідоцтва про право власності",22
"Видача експлуатаційного дозволу оператором ринку, що провадить діяльність, пов`язану з виробництвом та/або зберіганням харчових продуктів тваринного походження",11
"Видача копій, витягів з розпоряджень міського голови, рішень, прийнятих міською радою та виконавчим комітетом впродовж останніх 10 років",53
"Видача ордерів (дозволів) на порушення об`єктів благоустрою пов`язаних з виконанням  земельних та/або ремонтних робіт",400
"Видача посвідчень батьків та дитини з багатодітної сім`ї*",99
"Видача рішення про надання у постійне користування та надання в оренду земельних ділянок сільськогосподарського призначення, що перебувають у державній власності для юридичних та фізичних осіб-підприємців",21
"Видача сертифіката відповідності закінченого будівництвом об`єкта",22
"Видача сертифіката  у разі прийняття в експлуатацію закінченого будівництвом об`єкта",2
"Виключення житлового приміщення з числа службових",20
